Category,Subcategory,Journal,Journal_cleaned,Subcategory_cleaned,Category_cleaned
Engineering & Computer Science,Computer Networks & Wireless Communication,IEEE International Conference on Communications,ieeeinternationalconferenceoncommunications,computernetworkswirelesscommunication,engineeringcomputerscience
Engineering & Computer Science,Computer Networks & Wireless Communication,Wireless Personal Communications,wirelesspersonalcommunications,computernetworkswirelesscommunication,engineeringcomputerscience
Engineering & Computer Science,Computer Networks & Wireless Communication,IEEE Transactions on Network and Service Management,ieeetransactionsonnetworkandservicemanagement,computernetworkswirelesscommunication,engineeringcomputerscience
Engineering & Computer Science,Computer Networks & Wireless Communication,Ad Hoc Networks,adhocnetworks,computernetworkswirelesscommunication,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,IEEE Symposium on Security and Privacy,ieeesymposiumonsecurityandprivacy,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,USENIX Security Symposium,usenixsecuritysymposium,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,IEEE Transactions on Information Forensics and Security,ieeetransactionsoninformationforensicsandsecurity,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Computers & Security,computerssecurity,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,ACM Conference on Computer and Communications Security (CCS),acmconferenceoncomputerandcommunicationssecurityccs,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Network and Distributed System Security Symposium (NDSS),networkanddistributedsystemsecuritysymposiumndss,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,IEEE Transactions on Dependable and Secure Computing,ieeetransactionsondependableandsecurecomputing,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Journal of Information Security and Applications,journalofinformationsecurityandapplications,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,International Conference on Theory and Applications of Cryptographic Techniques (EUROCRYPT),internationalconferenceontheoryandapplicationsofcryptographictechniqueseurocrypt,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,International Cryptology Conference (CRYPTO),internationalcryptologyconferencecrypto,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Security and Communication Networks,securityandcommunicationnetworks,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,IACR Transactions on Cryptographic Hardware and Embedded Systems,iacrtransactionsoncryptographichardwareandembeddedsystems,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Proceedings on Privacy Enhancing Technologies,proceedingsonprivacyenhancingtechnologies,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Financial Cryptography,financialcryptography,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,IEEE European Symposium on Security and Privacy,ieeeeuropeansymposiumonsecurityandprivacy,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,International Conference on The Theory and Application of Cryptology and Information Security (ASIACRYPT),internationalconferenceonthetheoryandapplicationofcryptologyandinformationsecurityasiacrypt,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,International Conference on Blockchain,internationalconferenceonblockchain,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,ACM Asia Conference on Computer and Communications Security,acmasiaconferenceoncomputerandcommunicationssecurity,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,IEEE International Conference on Blockchain and Cryptocurrency,ieeeinternationalconferenceonblockchainandcryptocurrency,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Security & Cryptography,Symposium On Usable Privacy and Security,symposiumonusableprivacyandsecurity,computersecuritycryptography,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),ieeecvfconferenceoncomputervisionandpatternrecognitioncvpr,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE/CVF International Conference on Computer Vision (ICCV),ieeecvfinternationalconferenceoncomputervisioniccv,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,European Conference on Computer Vision,europeanconferenceoncomputervision,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE Transactions on Pattern Analysis and Machine Intelligence,ieeetransactionsonpatternanalysisandmachineintelligence,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE Transactions on Image Processing,ieeetransactionsonimageprocessing,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,Medical Image Analysis,medicalimageanalysis,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,Pattern Recognition,patternrecognition,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE/CVF Computer Society Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),ieeecvfcomputersocietyconferenceoncomputervisionandpatternrecognitionworkshopscvprw,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),ieeecvfwinterconferenceonapplicationsofcomputervisionwacv,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,International Journal of Computer Vision,internationaljournalofcomputervision,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,Pattern Recognition Letters,patternrecognitionletters,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),ieeecvfinternationalconferenceoncomputervisionworkshopsiccvw,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IEEE International Conference on Image Processing (ICIP),ieeeinternationalconferenceonimageprocessingicip,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,British Machine Vision Conference (BMVC),britishmachinevisionconferencebmvc,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,International Conference on Pattern Recognition,internationalconferenceonpatternrecognition,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,Journal of Visual Communication and Image Representation,journalofvisualcommunicationandimagerepresentation,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,International Conference on 3D Vision (3DV),internationalconferenceondvisiondv,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,International Conference on Document Analysis and Recognition,internationalconferenceondocumentanalysisandrecognition,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,IET Image Processing,ietimageprocessing,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computer Vision & Pattern Recognition,Computer Vision and Image Understanding,computervisionandimageunderstanding,computervisionpatternrecognition,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,IEEE Internet of Things Journal,ieeeinternetofthingsjournal,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Future Generation Computer Systems,futuregenerationcomputersystems,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Cluster Computing,clustercomputing,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,IEEE Transactions on Parallel and Distributed Systems,ieeetransactionsonparallelanddistributedsystems,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,The Journal of Supercomputing,thejournalofsupercomputing,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Internet of Things,internetofthings,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,International Conference on Architectural Support for Programming Languages and Operating Systems (ASPLOS),internationalconferenceonarchitecturalsupportforprogramminglanguagesandoperatingsystemsasplos,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Journal of Parallel and Distributed Computing,journalofparallelanddistributedcomputing,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,IEEE Transactions on Services Computing,ieeetransactionsonservicescomputing,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,International Symposium on Computer Architecture (ISCA),internationalsymposiumoncomputerarchitectureisca,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,USENIX Symposium on Networked Systems Design and Implementation (NSDI),usenixsymposiumonnetworkedsystemsdesignandimplementationnsdi,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,IEEE/ACM International Symposium on Microarchitecture,ieeeacminternationalsymposiumonmicroarchitecture,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Concurrency and Computation: Practice and Experience,concurrencyandcomputationpracticeandexperience,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,USENIX Annual Technical Conference,usenixannualtechnicalconference,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Symposium on Operating Systems Design and Implementation (OSDI),symposiumonoperatingsystemsdesignandimplementationosdi,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,Journal of Systems Architecture,journalofsystemsarchitecture,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,IEEE Transactions on Cloud Computing,ieeetransactionsoncloudcomputing,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,International Conference for High Performance Computing Networking Storage and Analysis (SC),internationalconferenceforhighperformancecomputingnetworkingstorageandanalysissc,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,IEEE International Symposium on High-Performance Computer Architecture (HPCA),ieeeinternationalsymposiumonhighperformancecomputerarchitecturehpca,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Computing Systems,European Conference on Computer Systems (EuroSys),europeanconferenceoncomputersystemseurosys,computingsystems,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD),acmsigkddinternationalconferenceonknowledgediscoveryanddataminingkdd,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,IEEE Transactions on Knowledge and Data Engineering,ieeetransactionsonknowledgeanddataengineering,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,International Conference on Artificial Intelligence and Statistics,internationalconferenceonartificialintelligenceandstatistics,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Journal of Big Data,journalofbigdata,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,ACM International Conference on Web Search and Data Mining (WSDM),acminternationalconferenceonwebsearchanddataminingwsdm,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,IEEE International Conference on Big Data,ieeeinternationalconferenceonbigdata,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,ACM Conference on Recommender Systems,acmconferenceonrecommendersystems,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery,wileyinterdisciplinaryreviewsdataminingandknowledgediscovery,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,IEEE International Conference on Data Mining (ICDM),ieeeinternationalconferenceondataminingicdm,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Knowledge and Information Systems,knowledgeandinformationsystems,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,ACM Transactions on Intelligent Systems and Technology (TIST),acmtransactionsonintelligentsystemsandtechnologytist,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Data Mining and Knowledge Discovery,dataminingandknowledgediscovery,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,European Conference on Machine Learning and Knowledge Discovery in Databases,europeanconferenceonmachinelearningandknowledgediscoveryindatabases,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,ACM Transactions on Knowledge Discovery from Data (TKDD),acmtransactionsonknowledgediscoveryfromdatatkdd,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Big Data Mining and Analytics,bigdataminingandanalytics,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Social Network Analysis and Mining,socialnetworkanalysisandmining,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,SIAM International Conference on Data Mining (SDM),siaminternationalconferenceondataminingsdm,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,International Journal of Data Science and Analytics,internationaljournalofdatascienceandanalytics,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD),pacificasiaconferenceonknowledgediscoveryanddataminingpakdd,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Data Mining & Analysis,International Conference on Advances in Social Networks Analysis and Mining,internationalconferenceonadvancesinsocialnetworksanalysisandmining,datamininganalysis,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,International World Wide Web Conferences (WWW),internationalworldwidewebconferenceswww,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,IEEE Transactions on Knowledge and Data Engineering,ieeetransactionsonknowledgeanddataengineering,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,annualinternationalacmsigirconferenceonresearchanddevelopmentininformationretrieval,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Information Processing & Management,informationprocessingmanagement,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM International Conference on Information and Knowledge Management (CIKM),acminternationalconferenceoninformationandknowledgemanagementcikm,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Journal of Big Data,journalofbigdata,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Proceedings of the VLDB Endowment (PVLDB),proceedingsofthevldbendowmentpvldb,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM International Conference on Web Search and Data Mining (WSDM),acminternationalconferenceonwebsearchanddataminingwsdm,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM SIGMOD Conference,acmsigmodconference,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,International Conference on Data Engineering,internationalconferenceondataengineering,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,International Conference on Web and Social Media (ICWSM),internationalconferenceonwebandsocialmediaicwsm,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,IEEE International Conference on Big Data,ieeeinternationalconferenceonbigdata,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM Conference on Recommender Systems,acmconferenceonrecommendersystems,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Information Systems,informationsystems,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,World Wide Web,worldwideweb,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM Transactions on Information Systems,acmtransactionsoninformationsystems,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Knowledge and Information Systems,knowledgeandinformationsystems,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM Transactions on Intelligent Systems and Technology (TIST),acmtransactionsonintelligentsystemsandtechnologytist,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,Workshop of Cross-Language Evaluation Forum,workshopofcrosslanguageevaluationforum,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Databases & Information Systems,ACM Transactions on Internet Technology (TOIT),acmtransactionsoninternettechnologytoit,databasesinformationsystems,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Computers & Education,computerseducation,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Education and Information Technologies,educationandinformationtechnologies,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,British Journal of Educational Technology,britishjournalofeducationaltechnology,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Interactive Learning Environments,interactivelearningenvironments,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Computer Assisted Language Learning,computerassistedlanguagelearning,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,International Journal of Instruction,internationaljournalofinstruction,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,International Journal of Educational Technology in Higher Education,internationaljournalofeducationaltechnologyinhighereducation,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,International Journal of Emerging Technologies in Learning (iJET),internationaljournalofemergingtechnologiesinlearningijet,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Educational Technology Research and Development,educationaltechnologyresearchanddevelopment,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Journal of Computer Assisted Learning,journalofcomputerassistedlearning,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Journal of Educational Computing Research,journalofeducationalcomputingresearch,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Computers and Education: Artificial Intelligence,computersandeducationartificialintelligence,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,TechTrends,techtrends,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Australasian Journal of Educational Technology,australasianjournalofeducationaltechnology,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Learning Media and Technology,learningmediaandtechnology,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,International Review of Research in Open and Distributed Learning,internationalreviewofresearchinopenanddistributedlearning,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Smart Learning Environments,smartlearningenvironments,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,The Internet and Higher Education,theinternetandhighereducation,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,Journal of Research on Technology in Education,journalofresearchontechnologyineducation,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Educational Technology,International Conference on Learning Analytics and Knowledge,internationalconferenceonlearninganalyticsandknowledge,educationaltechnology,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),IEEE Access,ieeeaccess,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Chemical engineering journal,chemicalengineeringjournal,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Sensors,sensors,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Advanced Science,advancedscience,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),IEEE Transactions on Industrial Informatics,ieeetransactionsonindustrialinformatics,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),ACS Energy Letters,acsenergyletters,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),International Journal of Information Management,internationaljournalofinformationmanagement,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Applied Sciences,appliedsciences,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),ACM Computing Surveys (CSUR),acmcomputingsurveyscsur,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Sustainable Cities and Society,sustainablecitiesandsociety,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),IEEE Transactions on Industrial Electronics,ieeetransactionsonindustrialelectronics,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Information Sciences,informationsciences,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),TIDEE: TERI Information Digest on Energy and Environment,tideeteriinformationdigestonenergyandenvironment,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Fuel,fuel,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),ACS Sustainable Chemistry and Engineering,acssustainablechemistryandengineering,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Nature Electronics,natureelectronics,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Mechanical Systems and Signal Processing,mechanicalsystemsandsignalprocessing,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Chem,chem,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Nature Machine Intelligence,naturemachineintelligence,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Engineering & Computer Science (general),Electronics,electronics,engineeringcomputersciencegeneral,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Journal of Environmental Chemical Engineering,journalofenvironmentalchemicalengineering,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Waste Management,wastemanagement,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Process Safety and Environmental Protection,processsafetyandenvironmentalprotection,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Engineering Geology,engineeringgeology,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Tunnelling and Underground Space Technology,tunnellingandundergroundspacetechnology,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Rock Mechanics and Rock Engineering,rockmechanicsandrockengineering,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Computers and Geotechnics,computersandgeotechnics,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Soil Dynamics and Earthquake Engineering,soildynamicsandearthquakeengineering,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Acta Geotechnica,actageotechnica,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Bulletin of Engineering Geology and the Environment,bulletinofengineeringgeologyandtheenvironment,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Journal of Rock Mechanics and Geotechnical Engineering,journalofrockmechanicsandgeotechnicalengineering,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,International Journal of Greenhouse Gas Control,internationaljournalofgreenhousegascontrol,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Waste Management & Research,wastemanagementresearch,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Géotechnique,gotechnique,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Environmental Technology,environmentaltechnology,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Cold Regions Science and Technology,coldregionsscienceandtechnology,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Journal of Geotechnical and Geoenvironmental Engineering,journalofgeotechnicalandgeoenvironmentalengineering,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Transportation Geotechnics,transportationgeotechnics,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,International Journal of Geomechanics,internationaljournalofgeomechanics,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Environmental & Geological Engineering,Water Science and Technology,waterscienceandtechnology,environmentalgeologicalengineering,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Applied Soft Computing,appliedsoftcomputing,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Soft Computing,softcomputing,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,IEEE Congress on Evolutionary Computation,ieeecongressonevolutionarycomputation,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Swarm and Evolutionary Computation,swarmandevolutionarycomputation,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Genetic and Evolutionary Computation Conference (GECCO),geneticandevolutionarycomputationconferencegecco,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Evolutionary Intelligence,evolutionaryintelligence,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,IEEE Symposium Series on Computational Intelligence,ieeesymposiumseriesoncomputationalintelligence,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Evolutionary Computation,evolutionarycomputation,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Natural Computing,naturalcomputing,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,International Journal of Bio-Inspired Computation,internationaljournalofbioinspiredcomputation,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Genetic Programming and Evolvable Machines,geneticprogrammingandevolvablemachines,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Memetic Computing,memeticcomputing,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Artificial Life,artificiallife,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,International Journal of Intelligent Computing and Cybernetics,internationaljournalofintelligentcomputingandcybernetics,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Parallel Problem Solving from Nature (PPSN),parallelproblemsolvingfromnatureppsn,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,Artificial Life Conference (ALIFE),artificiallifeconferencealife,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,International Conference on Applications of Evolutionary Computation,internationalconferenceonapplicationsofevolutionarycomputation,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,International Conference on Evolutionary Multi-Criterion Optimization (EMO),internationalconferenceonevolutionarymulticriterionoptimizationemo,evolutionarycomputation,engineeringcomputerscience
Engineering & Computer Science,Evolutionary Computation,International Conference on Hybrid Intelligent Systems,internationalconferenceonhybridintelligentsystems,evolutionarycomputation,engineeringcomputerscience
