Category,Subcategory,Journal,Journal_cleaned,Subcategory_cleaned,Category_cleaned
"Business, Economics & Management",Development Economics,Economies,economies,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Third World Quarterly,thirdworldquarterly,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,The World Bank Economic Review,theworldbankeconomicreview,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Development & Change,developmentchange,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,The European Journal of Development Research,theeuropeanjournalofdevelopmentresearch,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Development Southern Africa,developmentsouthernafrica,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,African Development Review,africandevelopmentreview,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Development Policy Review,developmentpolicyreview,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,The Journal of International Trade & Economic Development,thejournalofinternationaltradeeconomicdevelopment,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Review of Development Economics,reviewofdevelopmenteconomics,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Asian Economic and Financial Review,asianeconomicandfinancialreview,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Economic Development and Cultural Change,economicdevelopmentandculturalchange,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,World Development Perspectives,worlddevelopmentperspectives,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Journal of African Business,journalofafricanbusiness,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Development Economics,Journal of Economics & Development,journalofeconomicsdevelopment,developmenteconomics,businesseconomicsmanagement
"Business, Economics & Management",Economic History,The Economic History Review,theeconomichistoryreview,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,The Journal of Economic History,thejournalofeconomichistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Review of Keynesian Economics,reviewofkeynesianeconomics,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Explorations in Economic History,explorationsineconomichistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Business History,businesshistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,European Review of Economic History,europeanreviewofeconomichistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Cliometrica,cliometrica,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Accounting History,accountinghistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,The European Journal of the History of Economic Thought,theeuropeanjournalofthehistoryofeconomicthought,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Journal of the History of Economic Thought,journalofthehistoryofeconomicthought,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Revista de Historia Económica / Journal of Iberian and Latin American Economic History,revistadehistoriaeconmicajournalofiberianandlatinamericaneconomichistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,History of Political Economy,historyofpoliticaleconomy,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Scandinavian Economic History Review,scandinavianeconomichistoryreview,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Economic History Research,economichistoryresearch,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Erasmus Journal for Philosophy and Economics,erasmusjournalforphilosophyandeconomics,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Œconomia. History Methodology Philosophy,conomiahistorymethodologyphilosophy,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Agricultural History,agriculturalhistory,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Annali della Fondazione Luigi Einaudi,annalidellafondazioneluigieinaudi,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,Jahrbuch für Wirtschaftsgeschichte / Economic History Yearbook,jahrbuchfrwirtschaftsgeschichteeconomichistoryyearbook,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic History,History of Economics Review,historyofeconomicsreview,economichistory,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Journal of Monetary Economics,journalofmonetaryeconomics,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,American Economic Journal: Economic Policy,americaneconomicjournaleconomicpolicy,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Economic Analysis and Policy,economicanalysisandpolicy,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,European Economic Review,europeaneconomicreview,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,American Economic Journal: Macroeconomics,americaneconomicjournalmacroeconomics,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Emerging Markets Finance and Trade,emergingmarketsfinanceandtrade,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Journal of International Money and Finance,journalofinternationalmoneyandfinance,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Journal of Financial Stability,journaloffinancialstability,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Applied Economic Perspectives and Policy,appliedeconomicperspectivesandpolicy,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Brookings Papers on Economic Activity,brookingspapersoneconomicactivity,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Oxford Review of Economic Policy,oxfordreviewofeconomicpolicy,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Journal of Policy Modeling,journalofpolicymodeling,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Utilities Policy,utilitiespolicy,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,The World Bank Economic Review,theworldbankeconomicreview,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Journal of Money Credit and Banking,journalofmoneycreditandbanking,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Review of Economic Dynamics,reviewofeconomicdynamics,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,International Economics,internationaleconomics,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Intereconomics,intereconomics,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,African Development Review,africandevelopmentreview,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economic Policy,Economic Policy,economicpolicy,economicpolicy,businesseconomicsmanagement
"Business, Economics & Management",Economics,American Economic Review,americaneconomicreview,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,The Review of Financial Studies,thereviewoffinancialstudies,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of Political Economy,journalofpoliticaleconomy,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,The Quarterly Journal of Economics,thequarterlyjournalofeconomics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,The Review of Economic Studies,thereviewofeconomicstudies,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,The Journal of Finance,thejournaloffinance,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Econometrica,econometrica,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Review of Economics and Statistics,reviewofeconomicsandstatistics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of Public Economics,journalofpubliceconomics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of Economic Perspectives,journalofeconomicperspectives,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Economic Modelling,economicmodelling,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,The Economic Journal,theeconomicjournal,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of Monetary Economics,journalofmonetaryeconomics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of Development Economics,journalofdevelopmenteconomics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of the European Economic Association,journaloftheeuropeaneconomicassociation,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,International Review of Economics & Finance,internationalreviewofeconomicsfinance,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,European Economic Review,europeaneconomicreview,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,American Economic Journal: Macroeconomics,americaneconomicjournalmacroeconomics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Journal of International Economics,journalofinternationaleconomics,economics,businesseconomicsmanagement
"Business, Economics & Management",Economics,Structural Change and Economic Dynamics,structuralchangeandeconomicdynamics,economics,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Educational Management Administration and Leadership,educationalmanagementadministrationandleadership,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Professional Development in Education,professionaldevelopmentineducation,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,International Journal of Educational Management,internationaljournalofeducationalmanagement,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Journal of Education Policy,journalofeducationpolicy,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Educational Administration Quarterly,educationaladministrationquarterly,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,International Journal of Leadership in Education,internationaljournalofleadershipineducation,educationaladministration,businesseconomicsmanagement
"Business, Economics & Management",Educational Administration,Educational Policy,educationalpolicy,educationaladministration,businesseconomicsmanagement
